
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3577      ,"X":257.57%,"Y":179.30%,"Timestamp": 1575.12
"Frame": 3578      ,"X":258.32%,"Y":180.19%,"Timestamp": 1595.38
"Frame": 3579      ,"X":233.82%,"Y":163.00%,"Timestamp": 1615.63
"Frame": 3580      ,"X":193.05%,"Y":149.63%,"Timestamp": 1635.88
"Frame": 3581      ,"X":129.83%,"Y":144.19%,"Timestamp": 1656.13
"Frame": 3582      ,"X":102.05%,"Y":144.19%,"Timestamp": 1676.37
"Frame": 3583      ,"X": 75.22%,"Y":148.32%,"Timestamp": 1696.63
"Frame": 3584      ,"X": 33.67%,"Y":160.15%,"Timestamp": 1716.88
"Frame": 3585      ,"X": 30.38%,"Y":164.70%,"Timestamp": 1737.12
"Frame": 3586      ,"X": 20.48%,"Y":175.39%,"Timestamp": 1757.38
"Frame": 3587      ,"X": 11.79%,"Y":181.79%,"Timestamp": 1780.92
"Frame": 3588      ,"X": -5.66%,"Y":193.48%,"Timestamp": 1797.87
"Frame": 3589      ,"X":-10.62%,"Y":195.87%,"Timestamp": 1818.14
"Frame": 3590      ,"X":-13.58%,"Y":197.18%,"Timestamp": 1838.38
"Frame": 3590      ,"X":-13.58%,"Y":197.18%,"Timestamp": 1838.38
"Frame": 3591      ,"X":-15.39%,"Y":197.79%,"Timestamp": 1858.62
"Frame": 3592      ,"X":-16.94%,"Y":198.18%,"Timestamp": 1878.89
"Frame": 3593      ,"X":-18.07%,"Y":198.45%,"Timestamp": 1900.08
"Frame": 3594      ,"X":-18.87%,"Y":198.64%,"Timestamp": 1919.37
"Frame": 3595      ,"X":-25.30%,"Y":195.67%,"Timestamp": 1939.63
"Frame": 3596      ,"X":-35.06%,"Y":166.96%,"Timestamp": 1959.88
"Frame": 3596      ,"X":-35.06%,"Y":166.96%,"Timestamp": 1959.88
"Frame": 3597      ,"X":-20.97%,"Y":162.79%,"Timestamp": 1980.13
"Frame": 3598      ,"X":-11.81%,"Y":134.30%,"Timestamp": 2001.54
"Frame": 3599      ,"X":  3.98%,"Y":104.53%,"Timestamp": 2020.62
"Frame": 3600      ,"X": 57.08%,"Y": 92.83%,"Timestamp": 2040.87
"Frame": 3601      ,"X":116.07%,"Y": 83.37%,"Timestamp": 2061.13
"Frame": 3602      ,"X":162.42%,"Y": 70.75%,"Timestamp": 2081.37
"Frame": 3603      ,"X":172.65%,"Y": 66.25%,"Timestamp": 2101.63
"Frame": 3604      ,"X":198.31%,"Y": 68.65%,"Timestamp": 2121.87
"Frame": 3605      ,"X":213.40%,"Y": 75.10%,"Timestamp": 2142.12
"Frame": 3606      ,"X":221.50%,"Y": 78.70%,"Timestamp": 2162.38
"Frame": 3607      ,"X":226.60%,"Y": 80.96%,"Timestamp": 2182.62
"Frame": 3607      ,"X":226.60%,"Y": 80.96%,"Timestamp": 2182.62
"Frame": 3608      ,"X":230.36%,"Y": 82.53%,"Timestamp": 2202.88
"Frame": 3609      ,"X":233.04%,"Y": 83.66%,"Timestamp": 2223.13
"Frame": 3610      ,"X":235.09%,"Y": 84.52%,"Timestamp": 2243.38
